Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Spend,Revenue,ROI
17592075-3629-45d7-9169-e3c200374c5c,Organic next generation parallelism,2025-06-15,2025-08-08,Radio,27821.33,94328.35,-0.29
9e2e43b2-240f-403e-8b91-ad2494d11bf3,Monitored transitional leverage,2025-04-07,2025-08-08,TV,8605.14,83105.36,1.89
478cea88-34cc-41f3-8262-696f14c80dbb,Compatible contextually-based ability,2024-12-25,2025-08-08,Billboard,15530.3,27173.42,1.72
a1bf4fce-a84f-4351-a3ab-46dac3cb81ca,Optional static workforce,2024-12-24,2025-08-08,Social Media,37330.49,12455.04,1.68
2d1bcd42-c785-4c6d-8f83-cd404be2dfd7,Secured clear-thinking paradigm,2025-08-06,2025-08-08,Billboard,25612.05,79996.04,-0.3
5ed3a4e6-e90f-4be0-96e8-bf83132de1d7,Grass-roots cohesive strategy,2025-05-26,2025-08-08,Social Media,15853.19,69403.85,1.09
3e3882b9-4af2-444d-8273-123fbb09f10b,Decentralized radical focus group,2025-03-09,2025-08-08,Billboard,25484.48,63458.22,-0.28
1eab038c-151c-4180-ab9d-e66489c2761d,Self-enabling bottom-line circuit,2025-01-31,2025-08-08,Email,11223.92,71078.41,-0.36
27812f5a-41b0-4d86-929d-074ddb3d6634,Integrated fault-tolerant paradigm,2025-01-25,2025-08-08,Billboard,37413.98,41336.73,1.52
9cf7e89f-632a-4e33-bf14-df9a89509dd8,Front-line directional initiative,2024-11-18,2025-08-08,Email,1919.34,84713.97,-0.16
d76f0e66-eada-4200-8262-f7c1ed4e1c48,Future-proofed actuating infrastructure,2024-09-20,2025-08-08,Social Media,29430.87,91080.48,0.87
b0b4675a-b2de-48d4-9f39-25c83a21456c,Synergized bifurcated superstructure,2025-01-03,2025-08-08,Email,1711.21,13928.4,0.91
bacd373d-309f-4433-b4a7-f1ecbe7749d0,Function-based next generation extranet,2025-05-27,2025-08-08,Email,36131.14,54338.32,-0.05
ed4dd89e-510b-4abe-90ae-5957eafc6d7e,Versatile optimizing throughput,2024-09-14,2025-08-08,Billboard,16300.83,34943.89,0.76
2e7fe8f7-315f-4a6e-b9bf-bbb677b7209e,Innovative tangible help-desk,2025-01-08,2025-08-08,TV,48089.95,54318.01,1.32
b8ea8712-5cba-4d1c-9d70-a38109fe449e,Networked intangible archive,2025-07-08,2025-08-08,Email,22933.44,91671.78,1.22
5f59a68d-f30d-4d06-a84d-b6b3bb5efba3,Devolved scalable methodology,2025-04-02,2025-08-08,Email,16735.51,41859.21,0.08
8f876a0b-8b64-45ca-9ec7-5bc54d5e28c9,Open-source scalable application,2025-01-05,2025-08-08,Social Media,37359.56,62660.83,0.29
a6fddd7e-938e-4b12-a719-5a605a3be821,Open-architected directional encryption,2025-06-12,2025-08-08,Email,17787.76,92472.42,0.81
11339fc4-8804-4a87-a75d-59c6a0d97e6b,Multi-tiered clear-thinking initiative,2025-01-26,2025-08-08,Email,47131.52,51078.27,0.8
e14d0207-570f-4171-811f-61cba61d8b85,Business-focused systemic help-desk,2024-09-16,2025-08-08,Radio,12598.66,30696.43,1.35
